name,affiliations,author_id,cited_by,interests
Kevin Roitero,University of Udine,1xd52jMAAAAJ,690,Information Retrieval
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4739,misinformation and fake news detection
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5348,Crowdsourcing
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2483,Human-AI Fact-checking
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,210,Crowdsourcing
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2885,biomedical classifications and ontologies
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,497,Provenance
Tim Draws,OTTO,UTMHOZMAAAAJ,1199,Research Methods
Joel Mackenzie,The University of Queensland,3jQ1Zh4AAAAJ,640,Information Systems
Kevin Roitero,University of Udine,1xd52jMAAAAJ,690,Information Retrieval
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4739,misinformation and fake news detection
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5348,Crowdsourcing
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2483,Human-AI Fact-checking
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,497,Provenance
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,139,Computer Science
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2885,biomedical classifications and ontologies
Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,143,
Giuseppe Serra,"Associate Professor of Computer Science, University of Udine",xz1J-xQAAAAJ,5330,Multimedia Forensics
Shaoyang Fan,The University of Queensland,uF87D5kAAAAJ,80,Data Mining
Giuseppe Primiero,"Department of Philosophy, University of Milan",srKA534AAAAJ,1119,Philosophy of Computer Science
Jan Wielemaker,"Researcher in Computer Science, VU University Amsterdam",7J1vJdEAAAAJ,5055,Semantic web
Tim Draws,OTTO,UTMHOZMAAAAJ,1199,Research Methods
Alessandro Checco,Computer Science Department - University of Rome La Sapienza,crhkrNcAAAAJ,900,Wireless Networks
Afshin Rahimi,Applied Scientist @ Amazon,WhPw2I0AAAAJ,1291,Natural Language Processing
Andrea Brunello,Università degli Studi di Udine,GuteS00AAAAJ,280,databases
Tetsuya Sakai,Waseda University,vi56gz4AAAAJ,6614,human computer interaction
Eddy Maddalena,"Unita' di Gastroenterologia ed Endoscopia Digestiva, ospedale Sandro Pertini, Roma",j8YC3TAAAAAJ,1742,malattie panc
Stefano Mizzaro,Full professor of Computer Science and Information Technology,2wvJC6IAAAAJ,4739,misinformation and fake news detection
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5348,Crowdsourcing
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,210,Crowdsourcing
Eddy Maddalena,"Unita' di Gastroenterologia ed Endoscopia Digestiva, ospedale Sandro Pertini, Roma",j8YC3TAAAAAJ,1742,malattie panc
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2885,biomedical classifications and ontologies
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2483,Human-AI Fact-checking
David La Barbera,Università Degli Studi Di Udine,MvN8wKEAAAAJ,139,Computer Science
Alessandro Checco,Computer Science Department - University of Rome La Sapienza,crhkrNcAAAAJ,900,Wireless Networks
Beatrice Portelli,University of Udine,HQZd6wsAAAAJ,143,
Mihai Horia Popescu,PhD student,7VIbKlEAAAAJ,45,Explainable Artificial Intelligence (XAI)
Davide Ceolin,"Tenured Researcher, CWI Amsterdam",y8Jy518AAAAJ,497,Provenance
Falk Scholer,"School of Computing Technologies, RMIT University",qOLjlqsAAAAJ,4639,dat
J. Shane Culpepper,The University of Queensland,OFlBSEEAAAAJ,3142,Machine Learning
Andrea Brunello,Università degli Studi di Udine,GuteS00AAAAJ,280,databases
Shaoyang Fan,The University of Queensland,uF87D5kAAAAJ,80,Data Mining
Yunke Qu,The University of Queensland,oup2M48AAAAJ,11,Information Retrieval
Mark Sanderson,"Visiting Professor, St. George's University of London",hTob0R4AAAAJ,15648,nucleic acid interacting proteins
Rishabh Mehrotra,"Director - Machine Learning, ShareChat",X9BKWWoAAAAJ,2260,Marketplace
Mounia Lalmas,Spotify,wAr9G5sAAAAJ,10811,Personalization.
Tim Draws,OTTO,UTMHOZMAAAAJ,1199,Research Methods
Kevin Roitero,University of Udine,1xd52jMAAAAJ,690,Information Retrieval
Vincenzo Della Mea,"Associate Professor of Medical Informatics, University of Udine",BF3B4KAAAAAJ,2885,biomedical classifications and ontologies
Gianluca Demartini,Associate Professor at the University of Queensland,PCAiILsAAAAJ,5348,Crowdsourcing
Eddy Maddalena,"Unita' di Gastroenterologia ed Endoscopia Digestiva, ospedale Sandro Pertini, Roma",j8YC3TAAAAAJ,1742,malattie panc
Luca Vassena,"Research Associate, SUPSI",HZl2KP0AAAAJ,419,Interaction Design
Luca Di Gaspero,"Associate Professor of Information Technology, University of Udine",fIES7P0AAAAJ,3657,Metaheuristics
Damiano Spina,"School of Computing Technologies, RMIT University",sLzYrNYAAAAJ,2483,Human-AI Fact-checking
Michael Soprano,Postdoctoral Research Fellow at the University of Udine,ocK0qRUAAAAJ,210,Crowdsourcing
Carlo Tasso,Full Professor in Computer Science,ITxRmxIAAAAJ,3641,Semantic Web
